Covidence #,Study ID,Title,1.3. Paper Title:,1.4. Publication Year:,3.3. Country(ies) of study:,3.4. Study Setting,3.5. What was the geographic coverage of the study?,figure.id
26919,MinistryofHealthandSocialWelfare-Tanzania 2013,"Prevalence of pulmonary tuberculosis in adult population of Tanzania: a national survey, 2012","Prevalence of pulmonary tuberculosis in adult population of Tanzania: a national survey, 2012",2016,United Republic of Tanzania,National,Nationally representative,Tanzania (National)
26918,MinistryofHealth-Zambia 2015,The prevalence of HIV among adults with pulmonary TB at a population level in Zambia,Zambia National Tuberculosis Prevalence Survey 2013-2014 Technical Report,NA,Zambia,National,Nationally representative,Zambia (National) 
26917,,"First national TB prevalence survey 2012, Nigeria","Report First National TB Prevalence Survey 2012, Nigeria",N/A,Nigeria,National,Nationally representative,Nigeria (National)
26916,,Sputum positive point prevalence survey (1994),Sputum positive point prevallence survey,1994,Myanmar,Three stratum. 1) Yangon -inner and outer. 2) Urban areas of 28 districts 3) Rural areas of 28 districts.,Nationally representative,Myanmar (National) 
26915,,"Report on national TB prevalence survey 2009-2010, Myanmar","Report on National TB Prevalence Survey 2009-2010, Myanmar",2010,Myanmar,"The National TB Prevalence Survey was a nationwide, community-based cross-sectional survey of the adult population 
aged 15 years or above",Nationally representative,Myanmar (National) 
26913,MinistryofHealth-Ethiopia 2011,"The first population-based national tuberculosis prevalence survey in Ethiopia, 2010-2011","The first population-based national tuberculosis prevalence survey in Ethiopia, 2010-2011",2014,Ethiopia,"Nationaly representative consisting of:
Urban population: 14 clusters 
Rural population: 63 clusters 
Pastoralist population: 8 clusters",Nationally representative,Ethiopia (National)
26912,MinistryofHealth-Cambodia 2005,"Report of the national TB prevalence survey, 2002","National TB Prevalence Survey, 2022. Cambodia",2005,Cambodia,"Cambodia, a country with a population of only around 13 million, has been designated by 
World Health Organization (WHO) as one of the 22 high burden countries of tuberculosis (TB). 
Its incidence rate of 573/100,000 estimated by WHO in 2001 ranks 8 in the world while the 
remaining top ten countries are found in Africa. T",Nationally representative,Cambodia (National) 
26911,Middelkoop 2010,Antiretroviral program associated with reduction in untreated prevalent tuberculosis in a South African township,Antiretroviral Program Associated with Reduction in Untreated Prevalent Tuberculosis in a South African Township,2010,South Africa,"The residents of this community were of predominantly poor socioeconomic status, with high unemployment rates and overcrowded living conditions.","Single area (e.g., province, district, city)",South Africa (Western Cape Province)
26910,Mao 2014,Cross-sectional studies of tuberculosis prevalence in Cambodia between 2002 and 2011,"Cross-sectional studies of tuberculosis prevalence in Cambodia 
between 2002 and 2011",2014,Cambodia,"First the country was stratified into urban, rural and remote areas. Within each stratum, first districts, then communes and finally villages were selected, with sampling probability proportional to size, based on the 2008 population census.Accordingly, 13 clusters from urban areas, 47 clusters from rural areas and two clusters from remote areas were selected.",Nationally representative,Cambodia (National) 
26909,Lorent 2014,"Community-based active tuberculosis case finding in poor urban settlements of Phnom Penh, Cambodia: a feasible and effective strategy","Community-based active tuberculosis case finding in poor urban settlements of Phnom Penh, Cambodia: a feasible and effective strategy",2014,Cambodia,"We targeted communities with a presumed high prevalence of undiagnosed TB and/or restricted access to TB services. These included a heterogeneous group of slum dwellers, dump-site communities, migrants, factory workers, and displaced populations, the majority living in informal temporary or unstructured settlements. We selected the communities through purposeful sampling after consultation with health managers and municipal authorities. Community leaders, who were willing to participate, then identified the poorest or most hard-to-reach.","Single area (e.g., province, district, city)",Cambodia (Phnom Penh)
26906,Legesse 2013,"Community-based prevalence of undiagnosed mycobacterial diseases in the Afar Region, north-east Ethiopia","Community-based prevalence of undiagnosed mycobacterial diseases in the Afar Region, north-east Ethiopia",2013,Ethiopia,"Amibara district, north-east Ethiopia. The region has a total population of 1,411,092, with an estimated area of 96,707 square kilometers. The Amibara District is located in the Middle Awash valley, about 260 km to the north-east of Addis Ababa. The district has 18 kebeles (small administrative units), of which 4 are semi-towns, while the rest are pastoral kebeles.","Single area (e.g., province, district, city)",Ethiopia (Amibara District) 
26905,Law 2015,The first national TB prevalence survey of Lao PDR (2010-2011),The first national TB prevalence survey of Lao PDR (2010-2011),2015,Lao PDR,"Lao PDR is a landlocked country, and although not among the highest TB burden countries globally, it is geographically surrounded by them, that is Cambodia, China, Myanmar, Thailand and Vietnam. Lao PDR, with a population of 6.3 million (2011), is also one of the poorest countries in South East Asia, but has moved from being a lower- to a lower-middle-income economy with a gross national income of USD 1090 (2011) per capita. Life expectancy at birth is 67 years, and the under-5 mortality rate is 42 per 1000 live births (2011).",Nationally representative,Lao Pdr (National)
26904,Kolappan 2013,Trends in the prevalence of pulmonary tuberculosis over a period of seven and half years in a rural community in south India with DOTS,Trends in the prevalence of pulmonary tuberculosis over a period of seven and half years in a rural community in south India with DOTS,2013,India,"Our study was conducted in a TB Unit
(covering 500,000 predominantly rural population)
in Tiruvallur area. ","Single area (e.g., province, district, city)","India (Tiruvallur District, B)"
26901,Joshi 2005,Prevalence of pulmonary tuberculosis in far Western Nepal,Prevalence of pulmonary tuberculosis in far Western Nepal,2005,Nepal,ward no. 13 of Mahendra Nagar municipality of Kanchanpur district,"Single area (e.g., province, district, city)",Nepal (Ward 13 Mahendra Nagar Municipality) 
26899,Horie 2007,"A survey of tuberculosis prevalence in Hanoi, Vietnam","A survey of tuberculosis prevalence in Hanoi, Vietnam",2007,Viet Nam,"Hanoi, Vietnam","Single area (e.g., province, district, city)",Viet Nam (Hanoi City) 
26896,HamidSalim 2004,Gender differences in tuberculosis: a prevalence survey done in Bangladesh,Gender differences in tuberculosis: a prevalence survey done in Bangladesh,2004,Bangladesh,Bangladesh national tuberculosis control programme districts supported by the Belgian Damien Foundation,Multiple areas (but not nationally representative),Bangladesh (Multiple Areas) 
